'SELECT COUNT(*) FROM lineitem WHERE L_TAX = '%s' AND L_PARTKEY > '%s'','L_TAX,L_PARTKEY','lineitem','[]','L_TAX,=,L_PARTKEY,>'
'SELECT COUNT(*) FROM lineitem WHERE L_SHIPDATE > '%s' AND L_LINESTATUS = '%s' AND L_ORDERKEY = '%s'','L_SHIPDATE,L_LINESTATUS,L_ORDERKEY','lineitem','[]','L_SHIPDATE,>,L_LINESTATUS,=,L_ORDERKEY,='
'SELECT COUNT(*) FROM lineitem WHERE L_LINESTATUS = '%s' AND L_ORDERKEY = '%s' AND L_SUPPKEY = '%s'','L_LINESTATUS,L_ORDERKEY,L_SUPPKEY','lineitem','[]','L_LINESTATUS,=,L_ORDERKEY,=,L_SUPPKEY,='
'SELECT COUNT(*) FROM lineitem WHERE L_LINENUMBER = '%s' AND L_EXTENDEDPRICE = '%s'','L_LINENUMBER,L_EXTENDEDPRICE','lineitem','[]','L_LINENUMBER,=,L_EXTENDEDPRICE,='
'SELECT COUNT(*) FROM lineitem WHERE L_ORDERKEY = '%s' AND L_QUANTITY < '%s' AND L_EXTENDEDPRICE < '%s'','L_ORDERKEY,L_QUANTITY,L_EXTENDEDPRICE','lineitem','[]','L_ORDERKEY,=,L_QUANTITY,<,L_EXTENDEDPRICE,<'
'SELECT COUNT(*) FROM lineitem WHERE L_PARTKEY < '%s' AND L_TAX = '%s' AND L_RECEIPTDATE < '%s'','L_PARTKEY,L_TAX,L_RECEIPTDATE','lineitem','[]','L_PARTKEY,<,L_TAX,=,L_RECEIPTDATE,<'
'SELECT COUNT(*) FROM lineitem WHERE L_COMMITDATE < '%s' AND L_PARTKEY > '%s'','L_COMMITDATE,L_PARTKEY','lineitem','[]','L_COMMITDATE,<,L_PARTKEY,>'
'SELECT COUNT(*) FROM lineitem WHERE L_QUANTITY = '%s' AND L_DISCOUNT > '%s' AND L_RECEIPTDATE < '%s'','L_QUANTITY,L_DISCOUNT,L_RECEIPTDATE','lineitem','[]','L_QUANTITY,=,L_DISCOUNT,>,L_RECEIPTDATE,<'
'SELECT COUNT(*) FROM lineitem WHERE L_PARTKEY > '%s' AND L_RECEIPTDATE > '%s' AND L_SHIPMODE = '%s'','L_PARTKEY,L_RECEIPTDATE,L_SHIPMODE','lineitem','[]','L_PARTKEY,>,L_RECEIPTDATE,>,L_SHIPMODE,='
'SELECT COUNT(*) FROM lineitem WHERE L_LINENUMBER < '%s' AND L_COMMENT = '%s' AND L_QUANTITY > '%s'','L_LINENUMBER,L_COMMENT,L_QUANTITY','lineitem','[]','L_LINENUMBER,<,L_COMMENT,=,L_QUANTITY,>'
'SELECT COUNT(*) FROM lineitem WHERE L_EXTENDEDPRICE < '%s' AND L_RECEIPTDATE > '%s'','L_EXTENDEDPRICE,L_RECEIPTDATE','lineitem','[]','L_EXTENDEDPRICE,<,L_RECEIPTDATE,>'
'SELECT COUNT(*) FROM lineitem WHERE L_ORDERKEY = '%s' AND L_COMMENT = '%s'','L_ORDERKEY,L_COMMENT','lineitem','[]','L_ORDERKEY,=,L_COMMENT,='
